"item","data","um","cantitate","pret","valoare","moneda","isInvoiced","isPayed",
"Servicii inchiriere","2021-01-07","Lună (lună)","1","1000","1000","EUR","true","false",
"Servicii inchiriere","2021-02-07","Lună (lună)","1","1000","1000","EUR","true","true",
"Servicii inchiriere","2021-03-07","Lună (lună)","1","1000","1000","EUR","false","true",
"Servicii inchiriere","2021-04-07","Lună (lună)","1","1000","1000","EUR","true","true",
"Servicii inchiriere","2021-05-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2021-06-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2021-07-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2021-08-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2021-09-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2021-10-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2021-11-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2021-12-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2022-01-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2022-02-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2022-03-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2022-04-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2022-05-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2022-06-07","Lună (lună)","1","1000","1000","EUR","false","false",
"Servicii inchiriere","2022-07-07","Lună (lună)","1","1000","1000","EUR","false","false",
